Reference_Backbone,Query_Backbone,Final_Name
FJComp-APC-A,FJComp-APC-A,CD69-CD301b
FJComp-Alexa Fluor 700-A,FJComp-Alexa Fluor 700-A,MHCII
FJComp-BUV395-A,FJComp-BUV395-A,CD4
FJComp-BUV737-A,FJComp-BUV737-A,CD44
FJComp-BV421-A,FJComp-BV421-A,CD8
FJComp-BV510-A,FJComp-BV510-A,CD11c
FJComp-BV605-A,FJComp-BV605-A,CD11b
FJComp-BV650-A,FJComp-BV650-A,F480
FJComp-BV711-A,FJComp-BV711-A,Ly6C
FJComp-BV786-A,FJComp-BV786-A,Lineage
FJComp-GFP-A,FJComp-GFP-A,CD45a488
FJComp-PE-Cy7(yg)-A,FJComp-PE-Cy7(yg)-A,CD24
FJComp-PerCP-Cy5-5-A,FJComp-PerCP-Cy5-5-A,CD103
